FLIGHT_ID,P64: Duration of Takeoff (Seconds),P64: True Airspeed at Liftoff (knots),N1_liftoff,LIFTOFF,HEAD_WIND_KNOTS_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_std_during_stated_takeoff_ground_roll,ACTYPE,TAKEOFF_GROUND_ROLL_DISTANCE_STATED_(FEET),HEAD_WIND_KNOTS_TWENTY_POINT_LAGGING_AVERAGE,RUNWAY_CALCULATED_GRADIENT_degraded,GROSS_WEIGHT_KILOGRAMS_rollstart,FLAP_POSITION_DEGREES,MSL_ALT_degraded,AIR_TEMP_OUTSIDE_CELSIUS,N1_during_stated_takeoff_ground_roll
1003783,50.125,168.0,95.242188,1,6.6241605,22.25,0.0,A340-3_2CM015,7743.049358223747,6.3922555,-0.0,266258.042511,22.25,100.0,14.0,96.67968776
1003796,35.0,142.875,78.375,1,-0.02617342857142857,14.25,0.0,A330-3_4PW067,4673.364989248107,-0.07203295,0.0,152616.409622,14.25,0.0,21.5,75.32053571428571
1003798,43.875,166.8125,84.5,1,-0.15634581818181817,14.25,0.0,A330-3_4PW067,7584.867482496224,-0.54385705,0.0,212705.800461,14.25,0.0,21.5,83.0106534090909
1003801,37.5,152.1875,87.421875,1,-0.03663948648648649,14.25,0.0,A330-3_4PW067,5551.743395890187,-0.1364866,0.0,218092.190445,14.25,1400.0,5.5,84.9522804054054
1003802,42.75,158.4375,80.734375,1,0.06667788372093023,14.25,0.0,A330-3_4PW067,6497.29612637849,0.1310845,0.0,210017.792633,14.25,700.0,-1.75,79.45893895348837
1004087,52.0,159.9375,88.96875,1,0.06396134615384612,22.25,0.0,A340-3_2CM015,7515.9404599816835,-0.7428544,0.0,235586.776108,22.25,1400.0,6.0,89.52058315384616
1004088,46.875,149.375,88.09375,1,1.8876655531914894,22.25,0.0,A340-3_2CM015,6265.337059962383,1.6713298,0.0,227148.519226,22.25,700.0,0.75,88.38746702127659
1004115,39.75,145.1875,87.046875,1,-1.4462442249999998,14.25,0.0,A330-2_4PW067,5338.973454421142,-4.5334613,-0.0,194770.675583,14.25,1400.0,4.75,85.536328125
1004119,43.25,145.6875,86.617188,1,-0.3121746976744186,22.25,0.0,A340-3_2CM015,5864.324560709021,-1.3530022,-0.0,199484.983414,22.25,1400.0,5.75,86.97292904651162
1004120,45.75,150.3125,87.953125,1,0.7480886086956522,22.25,0.0,A340-3_2CM015,6121.559931960386,-0.27022155,-0.0,207230.242752,22.25,200.0,19.0,87.5506117173913
1004122,60.0,185.625,98.609375,1,2.9548389333333334,22.25,0.0,A340-3_2CM015,10154.282447380509,1.90959275,-0.0,257443.979095,22.25,5600.0,18.25,99.80859396666666
1004138,42.5,167.6875,86.125,1,-0.08102661904761906,14.25,0.0,A330-3_4PW067,6818.523298779898,-0.3310405,-0.0,220532.605545,14.25,1400.0,3.25,84.56584821428571
1004142,41.625,164.0625,82.984375,1,-0.29275502380952384,14.25,0.0,A330-3_4PW067,6482.857831641461,-0.7736402,-0.0,197551.131332,14.25,1400.0,5.25,80.72916666666667
1004143,33.5,146.375,78.046875,1,0.39534475757575754,14.25,0.0,A330-3_4PW067,4433.474071887836,0.88301815,-0.0,150707.768677,14.25,0.0,19.75,75.92376893939394
1004145,45.0,171.5,83.125,1,0.027177311111111113,14.25,0.0,A330-3_4PW067,7245.403749967376,0.08246295,-0.0,211562.869598,14.25,0.0,19.5,81.70243055555555
1004147,39.625,155.5625,82.375,1,0.3297294,14.25,0.0,A330-3_4PW067,5810.071147528794,0.9006315,0.0,211971.290176,14.25,100.0,3.75,80.69296875
1004229,54.375,157.125,91.976563,1,0.44245092592592594,22.25,0.0,A340-3_2CM015,8094.087695721737,-1.8422823,0.0,255337.911011,22.25,1400.0,6.5,92.40162057407407
1004230,51.125,161.375,92.296875,1,6.826003529411764,22.25,0.0,A340-3_2CM015,7783.661171840906,8.2932562,0.0,263369.904114,22.25,200.0,13.75,92.84681398039216
1004231,54.0,165.8125,93.585938,1,1.1549761481481482,22.25,0.0,A340-3_2CM015,8060.423290765063,-0.79096375,0.0,253630.660156,22.25,1400.0,6.0,94.08752916666666
1004232,49.75,155.875,87.117188,1,9.34467674,22.25,0.0,A340-3_2CM015,6831.2747400801545,9.233405,-0.0,232411.184982,22.25,0.0,13.25,87.40984399999999
1004282,41.25,157.875,87.203125,1,4.158142780487805,14.25,0.0,A330-2_4PW067,5763.022165767809,4.5332451,0.0,205751.593521,14.25,200.0,2.5,86.5201981707317
1004284,32.375,154.1875,90.703125,1,11.983526625,14.25,0.0,A330-2_4PW067,3891.905265061116,15.30764925,-0.0,201292.797623,14.25,100.0,1.25,89.27294921875
1004308,35.125,152.25,87.515625,1,8.219951885714286,14.25,0.0,A330-2_4PW067,4491.203881091864,8.43324075,0.0,192076.101379,14.25,100.0,4.0,87.00535714285714
1004476,39.75,147.8125,78.828125,1,-0.017483699999999998,14.25,0.0,A330-3_4PW067,5462.996041116025,-0.06021055,0.0,188651.175598,14.25,100.0,3.5,77.203125
1004601,39.875,155.0,86.53125,1,9.607303475,14.25,0.0,A330-2_4PW067,5248.619298257499,9.26296045,0.0,201314.364502,14.25,0.0,5.75,85.7515625
1004603,38.875,150.1875,87.609375,1,6.491528230769231,14.25,0.0,A330-2_4PW067,4882.0798631428515,8.58932985,0.0,205231.319702,14.25,200.0,4.75,85.92467948717949
1004607,49.75,153.8125,88.289063,1,-0.7644490399999999,22.25,0.0,A340-3_2CM015,7388.122765857606,-2.2900694,-0.0,229527.594955,22.25,1400.0,4.5,88.05390652
1004608,40.375,145.875,89.242188,1,3.0098037,22.25,0.0,A340-3_2CM015,5399.469985793486,3.362654,-0.0,214458.345169,22.25,100.0,1.0,89.070507975
1004643,36.875,148.25,88.859375,1,-3.966298621621622,14.25,0.0,A330-2_4PW067,5006.656092092528,-7.13252325,0.0,190847.637131,14.25,1400.0,3.25,87.10177364864865
1004644,29.0,139.0,88.046875,1,-1.2213378275862068,14.25,0.0,A330-2_4PW067,3423.611918424174,-2.0433301,-0.0,152837.867966,14.25,100.0,29.0,85.78394396551724
1004646,39.5,152.8125,91.796875,1,11.924685435897436,14.25,0.0,A330-2_4PW067,5390.461838733063,-0.88019635,-0.0,208802.820389,14.25,100.0,26.5,91.12860576923077
1004647,50.875,156.0,91.945313,1,0.5563913333333332,22.25,0.0,A340-3_2CM015,7311.704491334414,-0.206013,-0.0,252708.786804,22.25,1400.0,4.0,92.10554566666667
1004699,39.125,162.3125,81.78125,1,0.4925719743589744,14.25,0.0,A330-3_4PW067,5752.190507094625,1.3104856,0.0,209119.721191,14.25,100.0,3.25,80.73677884615384
1004700,41.625,161.1875,86.8125,1,-0.2351745476190476,14.25,0.0,A330-3_4PW067,6611.876160759999,-0.91532215,-0.0,227030.563858,14.25,1400.0,-2.0,84.55431547619048
1004702,52.75,162.625,95.289063,1,0.9104966415094339,22.25,0.0,A340-3_2CM015,8433.334914843177,-1.8774174,-0.0,267076.700592,22.25,1400.0,3.25,95.86423966037736
1004703,55.75,163.8125,91.898438,1,4.287024857142858,22.25,0.0,A340-3_2CM015,8239.704418532814,3.63154125,0.0,261399.838165,22.25,200.0,13.75,92.34793549999999
1004704,41.625,168.4375,87.9375,1,-0.11014026190476191,14.25,0.0,A330-3_4PW067,6997.91717296688,-0.3788852,0.0,225326.286957,14.25,1400.0,2.5,85.65625
1004706,43.125,160.1875,80.71875,1,-0.11584660465116278,14.25,0.0,A330-3_4PW067,6706.750637879399,-0.33968115,-0.0,192480.432678,14.25,1400.0,2.25,79.04433139534883
1004707,35.0,145.3125,78.375,1,-0.4692187428571429,14.25,0.0,A330-3_4PW067,4657.072976947596,-1.01730475,-0.0,149080.099213,14.25,0.0,19.5,75.31116071428572
1004708,32.5,143.75,78.59375,1,0.5008378125,14.25,0.0,A330-3_4PW067,4557.069750118158,0.8760664,0.0,143970.123016,14.25,100.0,22.25,75.6669921875
1004709,49.625,172.0,82.859375,1,-0.06728686,14.25,0.0,A330-3_4PW067,8409.2863722766,-0.27521085,0.0,212563.199326,14.25,100.0,17.25,81.6278125
1004847,47.0,149.75,89.28125,1,-4.469247702127659,22.25,0.0,A340-3_2CM015,6648.22517856979,-7.8445131,-0.0,229354.065338,22.25,100.0,2.0,89.33028612765958
1004848,45.25,142.0625,86.164063,1,-4.075704755555555,22.25,0.0,A340-3_2CM015,6335.975677281828,-6.9631624,-0.0,202135.702362,22.25,1400.0,0.5,86.18090297777778
1004849,44.0,149.9375,87.375,1,2.058899795454545,22.25,0.0,A340-3_2CM015,5900.378920030624,1.4511189,-0.0,205082.067917,22.25,200.0,17.5,87.57830284090909
1004852,41.0,145.0625,86.125,1,-1.3577533170731708,22.25,0.0,A340-3_2CM015,5468.303510229588,-2.9146976,-0.0,195840.661865,22.25,1400.0,3.5,85.47160851219512
1004857,65.125,181.0625,99.78125,1,2.1146488923076925,22.25,0.0,A340-3_2CM015,10957.705763083015,1.31270615,0.0,261962.361298,22.25,5600.0,16.5,101.3896637076923
1004858,51.625,156.25,91.507813,1,-3.2210054230769227,22.25,0.0,A340-3_2CM015,7905.654885521137,-4.4807368,-0.0,248284.05957,22.25,1400.0,1.25,91.5232875
1004898,39.125,158.375,88.25,1,-0.0850734358974359,14.25,0.0,A330-2_4PW067,5957.229980550222,-1.9092083,0.0,209734.549179,14.25,1400.0,1.5,87.74399038461539
1004925,40.0,166.0,87.953125,1,0.9959564750000001,14.25,0.0,A330-2_4PW067,5793.949923840688,2.5298551,0.0,208282.90155,14.25,1400.0,1.5,86.148828125
1004926,42.625,153.5625,87.71875,1,-0.460939046511628,14.25,0.0,A330-2_4PW067,5898.289275607144,-2.2841354,0.0,216505.937317,14.25,700.0,-0.5,86.31831395348837
1004979,44.875,163.6875,82.390625,1,-0.08749799999999999,14.25,0.0,A330-3_4PW067,7174.322660381471,-0.2686826,-0.0,206839.267807,14.25,1400.0,0.75,80.40138888888889
1004980,33.5,147.5625,77.6875,1,0.5062309696969698,14.25,0.0,A330-3_4PW067,4462.643425647915,1.1123905,-0.0,153717.867188,14.25,0.0,20.25,75.87831439393939
1004982,42.375,166.25,80.9375,1,0.18620138095238095,14.25,0.0,A330-3_4PW067,6725.9571901388135,0.5612136,-0.0,198648.687805,14.25,0.0,20.0,79.8515625
1005006,53.75,159.5625,91.945313,1,1.7447599999999999,22.25,0.0,A340-3_2CM015,7802.714826442237,2.5814335,0.0,261745.19223,22.25,1400.0,2.0,92.34577574074073
1005007,52.625,162.125,96.085938,1,1.5616273396226414,22.25,0.0,A340-3_2CM015,7799.176384043597,-0.9277091,-0.0,269432.772858,22.25,100.0,13.5,97.27491186792453
1005012,41.875,159.375,82.5625,1,0.13274911904761905,14.25,0.0,A330-3_4PW067,5775.108400729696,0.3704605,0.0,208531.611267,14.25,1400.0,0.75,80.6000744047619
1005013,41.75,167.375,82.578125,1,0.5152437857142858,14.25,0.0,A330-3_4PW067,6460.77121198111,1.4775693,0.0,221389.371323,14.25,0.0,4.5,81.35528273809524
1005240,49.125,153.6875,89.671875,1,1.0967472653061223,22.25,0.0,A340-3_2CM015,7375.5421844800685,0.16919535,0.0,237376.044952,22.25,0.0,16.25,90.2500002857143
1005241,46.625,147.6875,89.195313,1,-0.9063718723404256,22.25,0.0,A340-3_2CM015,6577.149007475346,-2.787088,-0.0,225336.141739,22.25,1400.0,-0.25,88.93051882978723
1005244,37.625,154.75,88.5,1,7.244670894736841,14.25,0.0,A330-2_4PW067,5107.750663180949,8.4995781,-0.0,216407.541733,14.25,100.0,5.75,87.26850328947368
1005245,46.25,146.375,85.5625,1,-3.979953847826087,22.25,0.0,A340-3_2CM015,6690.2066607300085,-6.9067068,-0.0,208421.59024,22.25,1400.0,-1.0,86.14181417391305
1005246,38.5,149.8125,88.625,1,6.783091131578948,22.25,0.0,A340-3_2CM015,5622.471515501729,1.5314514,-0.0,197893.429092,22.25,200.0,24.0,89.07401339473684
1005248,60.625,174.4375,100.1875,1,-0.8354324426229508,22.25,0.0,A340-3_2CM015,10077.953087231102,-3.4816844,-0.0,259602.462158,22.25,5600.0,19.5,101.01729019672132
1005250,37.5,144.6875,77.734375,1,-0.24692145945945945,14.25,0.0,A330-3_4PW067,5111.770977964581,-0.70813085,-0.0,155400.078552,14.25,0.0,19.75,75.46663851351352
1005251,38.125,147.125,77.8125,1,-0.10685221052631579,14.25,0.0,A330-3_4PW067,5592.565010070351,-0.277783,0.0,163969.715271,14.25,100.0,20.75,76.4095394736842
1005252,44.5,167.5,83.90625,1,-0.27194504545454545,14.25,0.0,A330-3_4PW067,7519.727017703321,-0.8192209,-0.0,211326.253647,14.25,0.0,18.25,82.68821022727273
1005314,40.125,161.9375,91.984375,1,0.2754065,14.25,0.0,A330-2_4PW067,5878.276528676042,-1.16044295,0.0,216080.740356,14.25,700.0,6.0,90.951171875
1005327,43.0,164.8125,83.28125,1,0.16171244186046513,14.25,0.0,A330-3_4PW067,6443.379791576186,0.44120005,0.0,215421.94606,14.25,1400.0,1.0,81.70348837209302
1005426,41.25,163.9375,88.328125,1,-0.024695560975609758,14.25,0.0,A330-3_4PW067,6579.205942148431,-0.12537585,-0.0,231155.75827,14.25,0.0,23.5,86.75533536585365
1005429,52.0,163.25,95.046875,1,0.8450208846153846,22.5,0.0,A340-3_2CM015,7634.065497829827,-0.55959825,-0.0,267130.770447,22.5,1400.0,0.0,95.78635848076922
1005430,46.75,158.6875,95.679688,1,2.8683567659574467,22.25,0.0,A340-3_2CM015,6847.003185009571,2.03405855,0.0,260210.202911,22.25,200.0,10.75,96.22373695744682
1005624,44.0,170.875,87.125,1,-0.11034588636363636,14.25,0.0,A330-3_4PW067,7037.905312459622,-0.3422987,0.0,223683.605194,14.25,1400.0,5.5,85.00923295454545
1006080,38.75,147.375,87.09375,1,-1.5171296923076925,14.25,0.0,A330-2_4PW067,5272.752785158762,-3.69226665,-0.0,200873.455841,14.25,1400.0,-4.25,85.75961538461539
1006081,38.0,149.0,88.28125,1,-0.12356031578947368,14.25,0.0,A330-2_4PW067,4860.485967067089,-1.52965055,0.0,201889.8311,14.25,0.0,12.75,86.27097039473684
1006086,37.75,143.5,78.1875,1,-0.13510202631578946,14.25,0.0,A330-3_4PW067,5249.092415260664,-0.40614075,0.0,154604.405624,14.25,100.0,22.25,75.60197368421052
1006087,46.25,167.5,82.890625,1,-0.2501267173913043,14.25,0.0,A330-3_4PW067,7712.842878184274,-0.84823615,-0.0,206644.88765,14.25,0.0,19.0,81.72622282608695
1006098,52.5,162.0,89.609375,1,-2.2206859615384618,22.25,0.0,A340-3_2CM015,7909.950803204478,-5.2098934,0.0,246483.186462,22.25,1400.0,-2.0,90.46259034615385
